idx,L,S,C,D,F_score,text
7827,0.5,0.8399069309234619,0.8864014898027692,1.0,0.506224456514631,"<purg. 22.120> drizzando pur in sù l'ardente corno,"
10940,0.5,0.8385266661643982,0.8870311827886672,1.0,0.5055222362563723,<par. 11.37> L'un fu tutto serafico in ardore;
11421,0.5,0.8348292708396912,0.897965179170881,1.0,0.5054905983379909,"<par. 14.92> l'ardor del sacrificio, ch'io conobbi"
9788,0.5,0.8368716835975647,0.8879934702600751,1.0,0.5047217042105538,"<par. 3.24> che, sorridendo, ardea ne li occhi santi."
13549,0.5,0.836864709854126,0.887280151389894,1.0,0.5045748561904544,<par. 29.48> nel tuo disio già son tre ardori.
13041,0.5,0.8364149928092957,0.8881945172945659,1.0,0.5044878991444905,<par. 25.108> qual conveniesi al loro ardente amore.
13304,0.5,0.8384419679641724,0.8799326272237868,1.0,0.5040517062232608,<par. 27.90> ad essa li occhi più che mai ardea;
12518,0.5,0.8378266096115112,0.8805620079948788,1.0,0.5038083673658824,"<par. 22.32> com'io la carità che tra noi arde,"
1792,0.5,0.8325444459915161,0.8892603374662853,1.0,0.5023787350881668,<inf. 14.37> tale scendeva l'etternale ardore;
12917,0.5,0.8292544484138489,0.893008904230027,1.0,0.5011544498943148,<par. 24.138> poi che l'ardente Spirto vi fé almi;
11369,0.5,0.8289433717727661,0.8937107188361032,1.0,0.5011081668308803,<par. 14.40> La sua chiarezza séguita l'ardore;
6771,0.5,0.8317304849624634,0.8813139801933652,1.0,0.5003010870161511,<purg. 15.70> Tanto si dà quanto trova d'ardore;
3081,0.5,0.8310505151748657,0.8749697957720075,1.0,0.4986242682593209,"<inf. 23.99> e che pena è in voi che sì sfavilla?""."
10391,0.5,0.8270246982574463,0.883135275613694,1.0,0.49784187407720654,"<par. 7.74> ché l'ardor santo ch'ogne cosa raggia,"
8270,0.5,0.8217506408691406,0.8982033894175575,1.0,0.497691062404996,"<purg. 25.122> al grande ardore allora udi' cantando,"
14135,0.5,0.8281883001327515,0.8769473291578747,1.0,0.4973024459112257,<par. 33.48> l'ardor del desiderio in me finii.
11370,0.5,0.822728157043457,0.8835483653204782,1.0,0.49534656729016996,"<par. 14.41> l'ardor la visione, e quella è tanta,"
10726,0.5,0.8228728771209717,0.8794306965101333,1.0,0.4946098655746097,"<par. 9.113> che qui appresso me così scintilla,"
10831,0.5,0.8195691108703613,0.8757386508442107,1.0,0.49188919669105896,"<par. 10.76> Poi, sì cantando, quelli ardenti soli"
12540,0.5,0.8118512630462646,0.8753501778557187,1.0,0.48718079339890247,"<par. 22.54> ch'io veggio e noto in tutti li ardor vostri,"
